canonical_smiles,pchembl_value,assay_description,chembl_id,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.5,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL596,336.47900000000004,4.136700000000004,23.550000000000004,0,2,6,3,2,0.4090909090909091,25
CCC(=O)NC(=S)Nc1ccc(NC(=O)c2ccco2)c(Cl)c1,5.35,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1486581,351.81500000000005,3.4083000000000006,83.37,3,4,4,2,2,0.13333333333333333,23
CCC(=O)Nc1cc(OC)c(NC(=O)c2ccccc2)cc1OC,5.73,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1445852,328.36800000000005,3.3046000000000015,76.66000000000001,2,4,6,2,2,0.2222222222222222,24
CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,5.8740000000000006,Activation of PXR in human cryopreserved hepatocytes assessed as induction of CYP3A4 | Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL1200617,370.53300000000013,4.496500000000005,54.370000000000005,1,3,2,4,0,0.75,27
CCC(O)(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)C(F)(F)F,7.32,Transactivation of PXR in human HepG2 cells,CHEMBL4444851,430.46300000000014,5.228800000000003,54.37,1,3,5,3,2,0.42857142857142855,29
CCCC(=O)Nc1nn(C)c2nc3cc(C)ccc3cc12,5.215,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1529540,282.34700000000004,3.168520000000002,59.81,1,3,3,3,3,0.3125,21
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1.Cl,4.7,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL347036,389.96700000000004,5.079600000000006,29.54,0,3,10,2,2,0.43478260869565216,27
CCCC(CCC)Oc1ccc(-c2ccccc2-c2nn[nH]n2)cc1NC(=O)Nc1ccc(C)cc1,6.0,Transactivation of PXR (unknown origin),CHEMBL5267732,484.60400000000016,6.833720000000006,104.82,3,5,10,4,4,0.2857142857142857,36
CCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],4.8,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1720065,348.4840000000001,2.228999999999999,57.2,0,3,11,1,1,0.6666666666666666,23
CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1.[Br-],4.95,Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1200883,591.7230000000002,5.053500000000004,38.25,0,4,22,2,2,0.6875,38
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,5.175,Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL175247,495.7450000000004,6.881900000000007,81.69999999999999,1,5,23,1,0,0.896551724137931,35
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,4.766666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL465,314.46900000000005,5.735800000000006,29.46,1,2,4,3,1,0.6190476190476191,23
CCCCN1CCCC1C(=O)Nc1c(C)cc(C)cc1C,5.16,Activation of PXR in human cryopreserved hepatocytes assessed as induction of CYP3A4 | Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL1870919,288.435,3.814860000000002,32.34,1,2,5,2,1,0.6111111111111112,21
CCCC[C@H](NC(=O)Cc1c[nH]c2ccc(OC)cc12)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,5.6,Activation of PXR (unknown origin) expressed in human DPX2 cells co-expressing luciferase gene under control of CYP3A4 promoter assessed as induction of CYP3A4 transcriptional activity incubated for overnight by luminescence based analysis,CHEMBL4858081,497.5990000000002,5.713600000000004,104.92000000000002,3,5,10,5,5,0.27586206896551724,37
CCCC[C@H](NC(=O)Cc1c[nH]c2ccccc12)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,5.36,Activation of PXR (unknown origin) expressed in human DPX2 cells co-expressing luciferase gene under control of CYP3A4 promoter assessed as induction of CYP3A4 transcriptional activity incubated for overnight by luminescence based analysis,CHEMBL4874919,467.5730000000002,5.7050000000000045,95.69,3,4,9,5,5,0.25,35
CCCC[C@H](NC(=O)[C@H](C)c1c(C)[nH]c2ccc(O)cc12)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,5.72,Activation of PXR (unknown origin) expressed in human DPX2 cells co-expressing luciferase gene under control of CYP3A4 promoter assessed as induction of CYP3A4 transcriptional activity incubated for overnight by luminescence based analysis,CHEMBL4861270,511.6260000000002,6.280020000000007,115.92000000000002,4,5,9,5,5,0.3,38
CCCC[C@H](NC(=O)[C@H](C)c1c(C)[nH]c2ccc(OC)cc12)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,5.54,Activation of PXR (unknown origin) expressed in human DPX2 cells co-expressing luciferase gene under control of CYP3A4 promoter assessed as induction of CYP3A4 transcriptional activity incubated for overnight by luminescence based analysis,CHEMBL4872186,525.6530000000002,6.5830200000000065,104.92000000000002,3,5,10,5,5,0.3225806451612903,39
CCCCc1cc2c(c(NC(C)=O)n1)c(=O)oc1ccccc12,4.77,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1481360,310.353,3.6422000000000017,72.2,1,4,4,3,3,0.2777777777777778,23
CCCNc1nc(Cl)nc(Nc2ccc(Cl)cc2)n1,4.895,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1596262,298.1770000000001,3.743900000000002,62.730000000000004,2,5,5,2,2,0.25,19
CCCc1nn(C)c(C(=O)Nc2cccc3ccccc23)c1Cl,4.845000000000001,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1427162,327.81500000000005,4.431500000000003,46.92,1,2,4,3,3,0.2222222222222222,23
CCN(/N=C/c1ccc(Cl)cc1)c1cc(=O)n(C)c(=O)[nH]1,5.03,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL2006030,306.753,1.5874,70.46000000000001,1,4,4,2,2,0.21428571428571427,21
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,5.2275,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL1480,384.259,3.9643000000000033,64.63,1,5,4,2,1,0.3333333333333333,25
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,4.516666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1200402,567.0600000000002,3.199600000000002,154.25,3,9,9,3,2,0.3076923076923077,38
CCOC(=O)Cc1cc(-c2ccc(O)cc2)nc2ccc3ccccc3c12,5.83,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1569192,357.4090000000001,4.866200000000004,59.42,1,4,4,4,4,0.13043478260869565,27
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.966666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL998,382.89100000000025,4.887800000000005,42.43,0,3,1,4,2,0.36363636363636365,27
CCOC(=O)c1oc2ccccc2c1N,5.13,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1303116,205.213,2.1917,65.46,1,4,2,2,2,0.18181818181818182,15
CCOCC(=O)Nc1cccc(-c2nc3cccnc3s2)c1C,5.37,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1578889,327.4090000000001,3.641720000000002,64.11,1,5,5,3,3,0.23529411764705882,23
CCOCCc1nnc(NC(=O)c2ccc(OC)c(OC)c2)s1,5.21,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1509099,337.40100000000007,2.3866000000000005,82.57000000000002,1,7,8,2,2,0.4,23
CCOP(=O)(OCC)C(=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)P(=O)(OCC)OCC,6.36,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL458767,504.54100000000034,7.817800000000009,91.29000000000002,1,7,11,1,1,0.6666666666666666,33
CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,4.975,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL1411951,359.5730000000001,5.7283000000000035,44.760000000000005,0,4,7,1,1,0.3333333333333333,20
CCOc1ccc(-c2cc(C)n3nc(C(N)=O)cc3n2)cc1,5.58,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1489187,296.33,2.2023199999999994,82.51,1,4,4,3,3,0.1875,22
CCOc1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)C)n5)(CC3)CC4)C(=O)C34CC(F)(C3)C4)c2)cn1,4.3,Transactivation of PXR (unknown origin),CHEMBL5182204,572.7250000000003,7.345200000000007,81.35000000000001,0,6,8,9,3,0.5882352941176471,42
CCOc1ccc(/C=N/n2cc(-c3ccccc3)nc2S)cc1,5.32,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL3194048,323.421,4.119700000000003,39.41,1,4,5,3,3,0.1111111111111111,23
CCOc1ccc(NC(=O)c2cc3ccccc3cc2OC)cc1,5.66,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1579318,321.3760000000001,4.499400000000003,47.56,1,3,5,3,3,0.15,24
CCOc1ccc2c(C(=O)N[C@H](c3ccccc3)C(F)(F)F)c(CN3CCC(N4CCCCC4)CC3)c(-c3cccc(C(F)(F)F)c3)nc2c1,5.89,Activation of PXR (unknown origin),CHEMBL4068023,698.7520000000004,8.803000000000003,57.7,1,5,9,6,4,0.42105263157894735,50
CCOc1ccccc1C(=O)Nc1cccc2c1C(=O)N(CC1CC1)C2,5.37,Activation of PXR (unknown origin),CHEMBL5427019,350.4180000000002,3.703400000000003,58.64,1,3,6,4,2,0.3333333333333333,26
CCOc1ccccc1NC(=O)c1ccc2nccnc2c1,5.66,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1300615,293.326,3.280800000000001,64.11,1,4,4,3,3,0.11764705882352941,22
CCOc1ncc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)C)n5)(CC3)CC4)C(=O)C34CC(F)(C3)C4)c2)cn1,4.3,Transactivation of PXR (unknown origin),CHEMBL5177647,573.7130000000002,6.740200000000007,94.24,0,7,8,9,3,0.6060606060606061,42
CCOc1ncc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)C)n5)(CC3)CC4)C(=O)[C@H]3C[C@@](C)(O)C3)c2)cn1,5.82,Transactivation of PXR (unknown origin),CHEMBL5173549,573.7380000000003,6.009000000000007,114.47,1,8,8,7,3,0.6060606060606061,42
CCOc1ncc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)C)n5)(CC3)CC4)C(=O)[C@H]3C[C@](O)(C(F)(F)F)C3)c2)cn1,4.3,Transactivation of PXR (unknown origin),CHEMBL5178315,627.7080000000004,6.551400000000008,114.47,1,8,8,7,3,0.6060606060606061,45
CCOc1ncc(-c2cccc(N(CC34CCC(c5noc(C(F)F)n5)(CC3)CC4)C(=O)C34CC(F)(C3)C4)c2)cn1,5.7,Transactivation of PXR (unknown origin),CHEMBL5189617,567.6120000000002,6.380300000000006,94.24,0,7,9,9,3,0.5666666666666667,41
CCS(=O)(=O)NC(=O)c1ccc2c(C3CCCCC3)c3n(c2c1)C[C@@]1(C(=O)N2C4CCC2CN(C)C4)C[C@H]1c1cc(F)ccc1-3,5.56,Activation of PXR in human hepatocytes assessed as induction of CYP450 expression,CHEMBL4094467,632.8020000000004,5.3669000000000056,91.72,1,5,5,8,3,0.5428571428571428,45
CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)[O-])[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C.[Na+],5.0,Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1489769,612.7800000000003,1.5115200000000033,136.35,3,8,13,3,1,0.7647058823529411,43
CC[C@@H](NC(=O)c1ccc(OC)nc1)[C@H]1CC[C@@H](c2ccnc(OC)c2C(F)F)CC1,5.72,Transactivation of PXR (unknown origin),CHEMBL4848094,433.49900000000014,4.913800000000005,73.34,1,5,8,3,2,0.5217391304347826,31
CC[C@@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@H]32,4.866666666666666,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1318553,294.3980000000001,3.774600000000003,25.240000000000002,0,2,1,5,2,0.5263157894736842,22
CCc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1C,6.05,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4859936,427.5700000000002,4.585440000000005,74.08,0,5,5,3,3,0.391304347826087,30
CCc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1Cl,6.16,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4850530,447.98800000000017,4.930420000000005,74.08,0,5,5,3,3,0.36363636363636365,30
CCc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1OC,6.1,Agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4875872,443.56900000000024,4.285620000000004,83.31,0,6,6,3,3,0.391304347826087,31
CN(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O,5.23,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL295786,282.3430000000001,2.3875,40.620000000000005,0,3,4,3,2,0.29411764705882354,21
CN(C)c1nc(N)nc(-c2nc3ccccc3s2)n1,6.07,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1386446,272.33700000000005,1.7965,80.82000000000001,1,7,2,3,3,0.16666666666666666,19
CN1C(=O)[C@@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21,4.89,Activation of human PXR,CHEMBL4071864,377.4040000000001,1.5492999999999992,100.21000000000001,2,5,4,4,3,0.2,28
CN1CC2CCC(C1)N2C(=O)[C@]12C[C@H]1c1cc(F)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)C(C)(C)C)cc3n1C2,4.78,Activation of PXR in human hepatocytes assessed as induction of CYP450 expression,CHEMBL4061940,660.8560000000001,6.145500000000006,91.72,1,5,4,8,3,0.5675675675675675,47
CN1CC2CCC(C1)N2C(=O)[C@]12C[C@H]1c1cc(F)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)C4(C)CC4)cc3n1C2,4.78,Activation of PXR in human hepatocytes assessed as induction of CYP450 expression,CHEMBL4067852,658.84,5.899500000000006,91.72,1,5,5,9,3,0.5675675675675675,47
CN1CC2CCC(C1)N2C(=O)[C@]12C[C@H]1c1cc(F)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(C)(=O)=O)cc3n1C2,5.08,Activation of PXR in human hepatocytes assessed as induction of CYP450 expression,CHEMBL4081189,618.7750000000002,4.976800000000004,91.72,1,5,4,8,3,0.5294117647058824,44
CN1CCC(C(=O)N(CC23CCC(c4nc(C5CC5)no4)(CC2)CC3)c2cccc(-c3nc(C4CC4)no3)c2)CC1,4.3,Transactivation of PXR (unknown origin),CHEMBL5205416,556.7110000000002,5.841400000000006,101.39000000000001,0,8,8,9,3,0.65625,41
CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.Cl,5.025,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL1200902,480.0990000000002,3.892500000000004,43.86000000000001,0,5,5,4,2,0.391304347826087,31
CN1CCN(CCCNC(=O)c2cc3c(-c4ccc(Cl)cc4)nn(C)c3s2)CC1,6.32,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1544647,431.99300000000017,3.3225000000000016,53.4,1,5,6,4,3,0.42857142857142855,29
CN1CCN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc21,7.75,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4217418,472.38200000000006,3.783000000000002,60.85000000000001,1,4,3,3,2,0.3333333333333333,31
CN1c2ccccc2C(NCCCCCCC(=O)[O-])c2ccc(Cl)cc2S1(=O)=O.[Na+],4.633333333333334,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL2361572,458.94300000000004,-0.13809999999999856,89.53999999999999,1,5,8,3,2,0.38095238095238093,30
