canonical_smiles,pchembl_value,assay_description,chembl_id,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,5.3,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL269732,804.0310000000001,4.639000000000004,178.35999999999996,3,12,7,4,0,0.7727272727272727,57
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,5.366,Activation of PXR in human cryopreserved hepatocytes assessed as induction of CYP3A4 | Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL52606,410.5070000000001,1.5199,113.29,3,7,2,3,0,0.8181818181818182,29
C=C[C@H]1Oc2c(NC(=O)Nc3ccc(C)cc3)cc(-c3ccccc3-c3nn[nH]n3)cc2[C@@H]1c1ccccc1,4.96,Transactivation of PXR (unknown origin),CHEMBL5285519,514.5890000000002,6.565020000000005,104.82000000000001,3,5,6,6,5,0.0967741935483871,39
CC(=O)N1CC(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)C1,5.94,Transactivation of PXR in human HepG2 cells,CHEMBL4784178,722.626,6.020400000000006,83.99000000000001,0,5,8,5,3,0.375,49
CC(=O)N1CCC(C(=O)N2CC[C@](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,5.11,Transactivation of PXR in human HepG2 cells,CHEMBL3907148,624.5749999999999,4.297900000000003,94.99000000000001,1,5,5,4,2,0.48148148148148145,42
CC(=O)N1CCC(C)(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,6.2,Transactivation of PXR in human HepG2 cells,CHEMBL3894847,764.7070000000001,7.190700000000007,83.99000000000001,0,5,8,5,3,0.42857142857142855,52
CC(=O)N1CCC(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,6.32,Transactivation of PXR in human HepG2 cells,CHEMBL3976875,513.431,4.059300000000003,74.68,1,4,4,3,2,0.38095238095238093,34
CC(=O)N1CCN(C(=O)N2CC[C@](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,5.31,Transactivation of PXR in human HepG2 cells,CHEMBL3918723,625.5629999999999,3.7969000000000026,98.22999999999999,1,5,4,4,2,0.46153846153846156,42
CC(=O)N1CCN(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4C#N)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,5.91,Transactivation of PXR in human HepG2 cells,CHEMBL3902725,758.6880000000001,6.0321800000000065,111.01999999999998,0,6,7,5,3,0.38235294117647056,52
CC(=O)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,4.9350000000000005,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL448245,235.674,2.6885000000000003,57.78,2,2,2,2,2,0.09090909090909091,16
